onboarding_id,user_id,role,status,onboarding_date
1,2916,merchant,rejected,2025-02-18
2,2900,agent,kyc_done,2025-02-19
3,1506,customer,kyc_done,2025-01-16
4,2257,agent,rejected,2025-01-07
5,1867,customer,kyc_done,2025-01-29
6,1206,agent,pending,2025-02-22
7,195,customer,rejected,2025-01-30
8,47,customer,pending,2025-03-13
9,2985,admin,pending,2025-01-14
10,2688,customer,kyc_done,2025-02-28
11,2724,merchant,kyc_done,2025-02-10
12,173,merchant,pending,2025-03-05
13,1198,merchant,pending,2025-03-02
14,308,customer,completed,2025-03-10
15,1517,agent,pending,2025-03-06
16,65,agent,pending,2025-03-11
17,2381,customer,completed,2025-02-16
18,2380,customer,completed,2025-03-18
19,104,customer,completed,2025-01-05
20,1220,merchant,kyc_done,2025-02-09
21,876,customer,pending,2025-01-06
22,436,merchant,pending,2025-02-13
23,1040,merchant,kyc_done,2025-03-21
24,480,customer,kyc_done,2025-03-31
25,176,customer,pending,2025-01-03
26,1175,customer,kyc_done,2025-03-13
27,2818,customer,pending,2025-01-06
28,2374,customer,kyc_done,2025-01-16
29,918,customer,pending,2025-01-24
30,503,customer,kyc_done,2025-02-26
31,2162,merchant,pending,2025-01-18
32,2972,customer,kyc_done,2025-01-30
33,2583,customer,rejected,2025-03-25
34,1538,customer,kyc_done,2025-01-07
35,930,customer,pending,2025-03-04
36,729,customer,rejected,2025-01-24
37,523,customer,pending,2025-02-23
38,793,merchant,completed,2025-01-07
39,1342,merchant,kyc_done,2025-02-02
40,2298,customer,pending,2025-01-03
41,2215,agent,pending,2025-02-20
42,1939,customer,pending,2025-02-13
43,514,customer,pending,2025-03-10
44,1707,merchant,kyc_done,2025-02-27
45,2040,merchant,pending,2025-02-24
46,2591,merchant,kyc_done,2025-01-19
47,1217,customer,rejected,2025-03-30
48,2491,merchant,kyc_done,2025-02-11
49,960,merchant,pending,2025-03-12
50,882,customer,kyc_done,2025-02-20
51,1931,merchant,pending,2025-03-07
52,2138,customer,kyc_done,2025-02-28
53,1805,merchant,pending,2025-01-16
54,2269,merchant,completed,2025-02-12
55,1904,agent,completed,2025-01-23
56,1471,customer,pending,2025-02-15
57,1432,merchant,pending,2025-02-03
58,2942,merchant,kyc_done,2025-03-07
59,1458,agent,pending,2025-01-19
60,653,merchant,kyc_done,2025-02-23
61,2299,customer,pending,2025-01-28
62,2742,merchant,kyc_done,2025-03-24
63,1271,customer,kyc_done,2025-02-08
64,2341,customer,kyc_done,2025-01-17
65,1017,customer,kyc_done,2025-01-13
66,1699,agent,kyc_done,2025-03-18
67,1710,agent,kyc_done,2025-03-07
68,2999,customer,pending,2025-01-08
69,2321,merchant,kyc_done,2025-03-20
70,831,agent,rejected,2025-01-26
71,461,merchant,kyc_done,2025-01-18
72,1923,customer,completed,2025-01-17
73,1453,agent,kyc_done,2025-01-31
74,2163,customer,kyc_done,2025-03-06
75,266,customer,kyc_done,2025-01-17
76,2692,customer,kyc_done,2025-03-26
77,1876,merchant,kyc_done,2025-02-18
78,1111,agent,pending,2025-03-30
79,521,customer,kyc_done,2025-01-12
80,2233,merchant,kyc_done,2025-01-08
81,944,customer,pending,2025-01-18
82,2790,merchant,completed,2025-03-20
83,29,customer,rejected,2025-02-07
84,1338,merchant,completed,2025-02-18
85,2137,customer,completed,2025-01-19
86,803,customer,pending,2025-02-26
87,2850,customer,completed,2025-03-31
88,2478,admin,completed,2025-03-18
89,877,customer,kyc_done,2025-03-23
90,1498,customer,pending,2025-03-31
91,706,customer,kyc_done,2025-03-22
92,1159,customer,kyc_done,2025-02-12
93,2394,customer,completed,2025-02-28
94,2965,customer,kyc_done,2025-02-13
95,964,agent,kyc_done,2025-01-16
96,2236,agent,kyc_done,2025-01-17
97,125,agent,kyc_done,2025-01-18
98,1010,merchant,pending,2025-03-10
99,1052,merchant,rejected,2025-01-29
100,1213,agent,pending,2025-02-22
101,1316,agent,kyc_done,2025-01-25
102,2815,customer,rejected,2025-03-11
103,858,merchant,kyc_done,2025-01-23
104,413,merchant,pending,2025-03-15
105,1302,customer,kyc_done,2025-02-26
106,1576,customer,rejected,2025-03-07
107,102,customer,pending,2025-01-09
108,2389,agent,kyc_done,2025-03-24
109,2335,merchant,kyc_done,2025-02-16
110,2439,customer,pending,2025-03-08
111,493,merchant,rejected,2025-01-06
112,835,merchant,completed,2025-03-12
113,2912,customer,kyc_done,2025-02-25
114,2230,customer,kyc_done,2025-02-27
115,540,customer,pending,2025-03-04
116,713,customer,pending,2025-03-17
117,2502,customer,pending,2025-02-13
118,1277,customer,completed,2025-02-12
119,2024,merchant,kyc_done,2025-03-23
120,941,merchant,kyc_done,2025-03-28
121,2974,agent,completed,2025-03-08
122,533,agent,pending,2025-03-20
123,309,agent,kyc_done,2025-02-06
124,1134,customer,kyc_done,2025-02-27
125,2537,agent,pending,2025-02-25
126,124,customer,pending,2025-01-19
127,304,customer,pending,2025-02-12
128,2912,agent,pending,2025-02-17
129,1096,agent,kyc_done,2025-01-17
130,1699,customer,kyc_done,2025-03-16
131,1108,merchant,kyc_done,2025-02-03
132,1019,agent,completed,2025-02-21
133,2818,customer,kyc_done,2025-03-10
134,2629,customer,pending,2025-03-25
135,2108,customer,completed,2025-03-01
136,2256,merchant,kyc_done,2025-01-15
137,2864,customer,pending,2025-02-07
138,2054,merchant,pending,2025-01-22
139,251,agent,pending,2025-03-20
140,1612,merchant,completed,2025-01-26
141,2966,merchant,completed,2025-02-06
142,2702,agent,completed,2025-01-23
143,1007,customer,pending,2025-02-09
144,2114,customer,kyc_done,2025-02-04
145,1524,customer,kyc_done,2025-03-11
146,466,customer,kyc_done,2025-03-22
147,666,customer,kyc_done,2025-01-23
148,286,agent,kyc_done,2025-01-21
149,2405,agent,pending,2025-03-10
150,1531,customer,kyc_done,2025-02-21
151,1226,agent,kyc_done,2025-01-10
152,2737,customer,rejected,2025-03-15
153,726,agent,rejected,2025-01-14
154,105,merchant,kyc_done,2025-01-22
155,1947,customer,rejected,2025-01-29
156,2730,customer,pending,2025-01-12
157,2889,customer,pending,2025-02-16
158,1538,customer,completed,2025-02-15
159,2410,merchant,pending,2025-01-09
160,1215,customer,pending,2025-01-05
161,1714,customer,pending,2025-03-05
162,611,customer,pending,2025-03-31
163,692,admin,completed,2025-03-22
164,1246,customer,pending,2025-02-26
165,2179,merchant,kyc_done,2025-03-07
166,182,merchant,kyc_done,2025-03-25
167,2502,customer,pending,2025-03-26
168,2667,customer,kyc_done,2025-03-16
169,1675,customer,completed,2025-03-23
170,1042,merchant,kyc_done,2025-03-21
171,1098,customer,pending,2025-01-07
172,733,merchant,pending,2025-01-25
173,7,customer,kyc_done,2025-02-23
174,2008,merchant,kyc_done,2025-02-03
175,59,customer,kyc_done,2025-01-03
176,569,merchant,kyc_done,2025-03-03
177,882,customer,kyc_done,2025-01-01
178,2329,merchant,kyc_done,2025-01-05
179,2059,customer,kyc_done,2025-02-09
180,1168,customer,completed,2025-01-29
181,576,merchant,completed,2025-03-24
182,311,merchant,kyc_done,2025-03-03
183,257,customer,kyc_done,2025-02-07
184,2091,customer,kyc_done,2025-03-19
185,2699,agent,kyc_done,2025-02-09
186,2312,agent,pending,2025-02-09
187,748,admin,kyc_done,2025-03-04
188,384,customer,kyc_done,2025-01-10
189,2464,customer,kyc_done,2025-03-16
190,1995,merchant,pending,2025-03-18
191,637,customer,pending,2025-02-15
192,379,customer,kyc_done,2025-01-18
193,356,merchant,kyc_done,2025-02-13
194,2067,merchant,rejected,2025-03-01
195,2885,merchant,pending,2025-01-30
196,2128,merchant,completed,2025-01-03
197,963,admin,pending,2025-02-17
198,2165,merchant,kyc_done,2025-01-14
199,2392,merchant,rejected,2025-02-12
200,1631,merchant,pending,2025-02-16
201,1786,customer,pending,2025-02-07
202,2499,merchant,rejected,2025-02-04
203,1009,customer,kyc_done,2025-01-06
204,1047,customer,completed,2025-01-03
205,1795,customer,completed,2025-03-20
206,91,customer,completed,2025-03-18
207,2295,customer,completed,2025-01-16
208,861,agent,kyc_done,2025-01-23
209,2909,customer,pending,2025-02-22
210,2954,agent,kyc_done,2025-02-25
211,2551,customer,pending,2025-01-12
212,405,admin,pending,2025-02-16
213,1263,merchant,kyc_done,2025-01-04
214,1870,agent,kyc_done,2025-02-25
215,1689,customer,kyc_done,2025-01-21
216,961,customer,rejected,2025-02-01
217,638,merchant,kyc_done,2025-02-14
218,2630,customer,kyc_done,2025-01-12
219,2022,customer,kyc_done,2025-01-02
220,503,merchant,rejected,2025-03-14
221,1287,merchant,kyc_done,2025-01-22
222,2098,customer,pending,2025-01-22
223,933,customer,pending,2025-03-04
224,294,customer,rejected,2025-03-15
225,1906,agent,kyc_done,2025-03-29
226,150,agent,pending,2025-02-23
227,1416,merchant,kyc_done,2025-01-08
228,2856,merchant,kyc_done,2025-03-04
229,2910,agent,completed,2025-02-20
230,1564,customer,kyc_done,2025-01-26
231,1294,customer,kyc_done,2025-02-07
232,451,merchant,kyc_done,2025-03-23
233,754,merchant,kyc_done,2025-03-03
234,2193,customer,kyc_done,2025-03-17
235,2227,customer,pending,2025-02-22
236,814,customer,completed,2025-02-05
237,2470,customer,kyc_done,2025-02-15
238,1343,merchant,completed,2025-03-22
239,802,customer,kyc_done,2025-03-29
240,1606,merchant,kyc_done,2025-03-13
241,395,merchant,kyc_done,2025-03-23
242,634,merchant,completed,2025-03-17
243,312,customer,kyc_done,2025-03-20
244,915,merchant,rejected,2025-01-17
245,2371,merchant,pending,2025-03-05
246,2993,agent,pending,2025-01-04
247,2099,merchant,kyc_done,2025-03-19
248,2551,merchant,kyc_done,2025-03-03
249,233,customer,kyc_done,2025-01-21
250,397,customer,pending,2025-03-27
251,619,customer,kyc_done,2025-02-08
252,2661,admin,pending,2025-03-01
253,433,customer,pending,2025-01-25
254,993,customer,kyc_done,2025-01-30
255,649,merchant,pending,2025-02-02
256,2814,merchant,rejected,2025-01-24
257,734,customer,completed,2025-02-16
258,2188,customer,rejected,2025-01-10
259,1060,agent,kyc_done,2025-02-17
260,2340,merchant,pending,2025-01-03
261,2259,merchant,completed,2025-01-10
262,584,admin,rejected,2025-02-10
263,1203,customer,pending,2025-03-21
264,867,admin,completed,2025-02-09
265,1873,customer,pending,2025-03-24
266,576,customer,pending,2025-03-16
267,184,merchant,kyc_done,2025-03-16
268,287,customer,rejected,2025-02-10
269,2119,merchant,pending,2025-03-24
270,1997,agent,pending,2025-02-16
271,616,customer,pending,2025-01-07
272,698,agent,kyc_done,2025-01-16
273,718,merchant,kyc_done,2025-01-18
274,1625,admin,kyc_done,2025-02-04
275,972,agent,pending,2025-03-13
276,431,customer,kyc_done,2025-02-20
277,2282,merchant,kyc_done,2025-02-10
278,2739,merchant,rejected,2025-03-06
279,226,agent,completed,2025-03-31
280,1039,agent,kyc_done,2025-03-23
281,2980,customer,completed,2025-03-29
282,653,customer,completed,2025-02-14
283,447,agent,kyc_done,2025-03-04
284,1368,customer,kyc_done,2025-01-29
285,184,merchant,kyc_done,2025-02-05
286,757,customer,pending,2025-03-18
287,2032,customer,kyc_done,2025-01-04
288,385,customer,kyc_done,2025-01-17
289,150,merchant,pending,2025-03-24
290,2722,merchant,completed,2025-02-07
291,2694,customer,pending,2025-01-05
292,1377,agent,kyc_done,2025-02-20
293,2654,merchant,pending,2025-03-12
294,790,customer,kyc_done,2025-02-09
295,45,customer,completed,2025-01-17
296,1921,agent,kyc_done,2025-03-12
297,2333,admin,pending,2025-02-08
298,2367,merchant,kyc_done,2025-03-26
299,1033,customer,kyc_done,2025-01-23
300,2903,customer,completed,2025-02-17
301,1915,merchant,kyc_done,2025-02-28
302,981,merchant,pending,2025-01-15
303,343,agent,completed,2025-02-28
304,1414,customer,pending,2025-03-04
305,1360,customer,completed,2025-01-13
306,1448,customer,pending,2025-03-01
307,2030,customer,kyc_done,2025-01-13
308,141,customer,pending,2025-02-20
309,1320,customer,pending,2025-01-24
310,1567,customer,pending,2025-02-10
311,2502,customer,kyc_done,2025-01-07
312,1083,customer,kyc_done,2025-02-01
313,930,customer,pending,2025-02-05
314,1054,customer,completed,2025-03-03
315,1325,customer,completed,2025-03-08
316,49,merchant,kyc_done,2025-01-15
317,2111,customer,kyc_done,2025-02-02
318,716,customer,pending,2025-02-27
319,1867,merchant,kyc_done,2025-02-12
320,2301,agent,completed,2025-03-23
321,827,customer,rejected,2025-01-04
322,1926,merchant,completed,2025-01-27
323,1394,customer,rejected,2025-02-14
324,767,customer,kyc_done,2025-02-12
325,2747,admin,kyc_done,2025-03-14
326,2807,merchant,kyc_done,2025-03-12
327,2314,customer,kyc_done,2025-03-17
328,2370,customer,completed,2025-01-09
329,1959,customer,pending,2025-03-16
330,2209,merchant,completed,2025-02-06
331,1259,customer,pending,2025-03-04
332,418,admin,pending,2025-03-26
333,975,customer,kyc_done,2025-02-11
334,635,customer,kyc_done,2025-03-06
335,2998,customer,completed,2025-02-19
336,972,agent,pending,2025-01-03
337,1157,agent,kyc_done,2025-02-10
338,1328,merchant,pending,2025-01-24
339,2907,customer,rejected,2025-03-28
340,2407,customer,pending,2025-03-12
341,1731,customer,kyc_done,2025-02-28
342,954,customer,kyc_done,2025-03-25
343,789,customer,pending,2025-03-22
344,1925,customer,kyc_done,2025-01-25
345,700,customer,kyc_done,2025-03-22
346,2503,agent,pending,2025-03-08
347,1265,customer,pending,2025-03-02
348,2737,customer,kyc_done,2025-03-09
349,2924,merchant,kyc_done,2025-02-21
350,1567,customer,pending,2025-02-09
351,1831,customer,kyc_done,2025-01-10
352,594,merchant,completed,2025-01-24
353,2752,customer,kyc_done,2025-01-18
354,2841,agent,completed,2025-03-23
355,852,merchant,completed,2025-02-24
356,2147,merchant,kyc_done,2025-03-27
357,632,merchant,rejected,2025-02-27
358,1332,merchant,pending,2025-01-30
359,2835,customer,pending,2025-03-05
360,2867,customer,kyc_done,2025-03-07
361,2094,customer,rejected,2025-01-03
362,83,customer,kyc_done,2025-01-11
363,513,merchant,completed,2025-01-27
364,1941,customer,completed,2025-02-10
365,306,customer,pending,2025-03-23
366,1239,merchant,completed,2025-01-22
367,1736,customer,rejected,2025-03-24
368,1729,agent,kyc_done,2025-02-28
369,2955,agent,kyc_done,2025-02-22
370,1914,customer,pending,2025-01-24
371,2386,customer,kyc_done,2025-03-08
372,969,customer,kyc_done,2025-01-31
373,1915,customer,kyc_done,2025-03-23
374,1506,merchant,rejected,2025-02-26
375,1959,customer,rejected,2025-02-20
376,1186,customer,rejected,2025-03-20
377,1404,agent,pending,2025-03-27
378,2443,agent,kyc_done,2025-03-14
379,1741,merchant,pending,2025-01-06
380,2113,merchant,kyc_done,2025-03-17
381,1641,agent,kyc_done,2025-02-20
382,722,agent,completed,2025-02-27
383,2291,customer,completed,2025-01-29
384,1295,customer,kyc_done,2025-01-30
385,989,customer,completed,2025-01-08
386,2363,agent,pending,2025-02-14
387,1513,admin,kyc_done,2025-03-11
388,1670,customer,pending,2025-01-23
389,886,customer,kyc_done,2025-01-22
390,2137,merchant,pending,2025-02-16
391,87,agent,kyc_done,2025-02-22
392,2873,agent,kyc_done,2025-03-10
393,1886,customer,completed,2025-03-19
394,2900,customer,rejected,2025-02-10
395,170,customer,kyc_done,2025-02-07
396,2611,merchant,completed,2025-01-07
397,1225,merchant,rejected,2025-03-09
398,1599,merchant,completed,2025-03-06
