transaction_id,user_id,amount,transaction_date
1,2275,56.36,2025-02-19
2,1563,152.38,2025-01-08
3,1071,223.98,2025-03-05
4,912,19.02,2025-03-01
5,466,245.65,2025-02-08
6,651,39.33,2025-03-21
7,681,42.17,2025-02-25
8,2302,83.61,2025-02-01
9,2317,109.34,2025-01-12
10,1442,12.07,2025-01-21
11,1905,52.55,2025-03-16
12,102,11.82,2025-01-04
13,1672,360.5,2025-03-06
14,150,156.88,2025-01-31
15,2085,362.53,2025-01-26
16,2246,395.55,2025-01-16
17,816,494.33,2025-02-02
18,1527,41.34,2025-03-12
19,246,92.44,2025-01-25
20,1115,161.14,2025-01-17
21,2652,11.58,2025-03-10
22,2866,25.49,2025-02-10
23,605,73.27,2025-01-15
24,1649,160.12,2025-01-06
25,718,327.31,2025-02-14
26,2782,453.13,2025-03-09
27,1077,259.83,2025-01-20
28,678,210.25,2025-03-12
29,2505,174.41,2025-02-15
30,841,573.8,2025-03-28
31,2146,404.81,2025-01-06
32,1818,171.41,2025-02-06
33,1872,14.92,2025-03-26
34,379,11.59,2025-02-14
35,1125,457.33,2025-01-24
36,2058,266.98,2025-02-23
37,2885,254.55,2025-01-25
38,863,169.57,2025-03-22
39,949,164.65,2025-02-15
40,1363,493.28,2025-02-17
41,649,137.31,2025-03-11
42,1868,29.18,2025-01-17
43,157,159.37,2025-02-07
44,625,202.29,2025-03-01
45,544,372.55,2025-01-28
46,1097,37.13,2025-03-21
47,582,107.6,2025-03-26
48,2282,39.05,2025-02-09
49,823,376.46,2025-02-11
50,411,119.86,2025-03-11
51,2019,140.82,2025-03-29
52,1805,190.7,2025-01-13
53,1475,398.74,2025-03-02
54,674,88.46,2025-01-12
55,965,70.91,2025-01-03
56,816,148.04,2025-02-19
57,1660,237.83,2025-03-19
58,2436,43.2,2025-01-03
59,1582,376.19,2025-02-16
60,2292,335.15,2025-02-19
61,2256,548.89,2025-01-29
62,2884,237.27,2025-01-18
63,695,34.44,2025-02-22
64,2002,96.95,2025-03-18
65,356,132.85,2025-01-18
66,77,98.05,2025-03-04
67,1397,78.04,2025-01-23
68,269,73.7,2025-01-22
69,1416,32.92,2025-02-22
70,2249,272.18,2025-02-15
71,768,62.66,2025-01-14
72,2366,256.43,2025-02-01
73,819,61.14,2025-02-10
